,IL2CPPDevFasterBuildDebugBuild,IL2CPPFasterBuildDebugBuild,IL2CPPDevFasterBuildReleaseBuild,IL2CPPFasterBuildReleaseBuild,IL2CPPDevFasterBuildMasterBuild,IL2CPPFasterBuildMasterBuild,IL2CPPDevFasterRuntimeDebugBuild,IL2CPPFasterRuntimeDebugBuild,IL2CPPDevFasterRuntimeReleaseBuild,IL2CPPFasterRuntimeReleaseBuild,IL2CPPDevFasterRuntimeMasterBuild,IL2CPPFasterRuntimeMasterBuild,MonoDev,Mono
0,7.27034,7.291600000000001,8.32151,7.69619,7.93681,8.13362,8.46484,8.399790000000001,7.60393,7.61595,8.58303,7.90783,7.995220000000001,8.45001
1,9.41544,8.40996,8.27483,7.1467600000000004,7.27763,7.696680000000001,7.712260000000001,6.4728900000000005,7.72854,7.77388,7.81679,8.29516,7.31861,8.20647
2,7.10041,8.438030000000001,8.14561,8.845040000000001,8.3945,7.9649399999999995,8.145760000000001,8.72072,7.37459,8.49814,8.09515,8.381020000000001,9.35119,8.94815
3,7.755520000000001,8.77289,6.6053999999999995,7.32003,8.515870000000001,8.21458,7.43109,8.58742,8.0066,7.6093,7.148899999999999,7.81442,7.38121,8.67712
4,7.2673000000000005,6.98269,8.640889999999999,8.399659999999999,8.47674,8.47884,8.92916,8.75258,8.40175,8.444420000000001,8.446959999999999,8.806059999999999,8.96926,7.85238
5,8.462629999999999,8.89137,7.70251,8.18027,8.202399999999999,7.638319999999999,7.1918999999999995,8.78121,7.24418,6.97457,8.10014,6.54863,6.93363,8.11336
6,7.6077200000000005,8.757620000000001,8.62285,8.343950000000001,8.56063,8.61566,9.52976,8.09739,7.9204,8.19348,7.64311,9.39658,8.77098,8.89082
7,10.0733,6.07803,7.49883,6.69984,6.53958,8.787450000000002,7.96571,8.39292,7.08849,8.11722,8.26168,7.603770000000001,9.10651,8.74003
8,8.39167,7.87185,7.8546700000000005,7.8578,8.90011,8.2095,7.55499,7.86187,8.40468,7.5559899999999995,8.85541,8.78217,7.85954,8.59422
9,6.76872,6.5950500000000005,6.73242,8.218459999999999,8.2992,6.67272,8.370569999999999,7.79546,8.345139999999999,8.320780000000001,8.68873,7.32729,8.18624,7.1132100000000005
10,9.08726,8.94951,8.4837,7.85915,8.38352,8.57068,8.42741,8.13855,7.42417,7.673100000000001,8.63786,8.25045,8.85409,7.65264
11,7.5293,8.078859999999999,8.97606,8.07925,7.60235,8.00793,6.34833,8.95792,7.152430000000001,7.95738,7.505310000000001,8.02796,7.3628599999999995,7.79569
12,8.733780000000001,6.94992,8.57757,7.37388,8.47828,7.8943,8.96316,8.378530000000001,8.94936,8.353309999999999,8.22246,7.98557,8.32532,7.41084
13,8.13923,9.913799999999998,7.32693,7.9437,8.579790000000001,7.00378,8.1843,7.89364,7.75719,7.8721499999999995,8.80021,8.36605,8.47725,6.28367
14,7.17609,6.99209,8.27895,8.87618,7.494689999999999,7.88126,7.43445,8.18112,7.4787799999999995,8.29062,8.91743,7.7078,8.943670000000001,7.80391
15,9.59015,8.476379999999999,7.894520000000001,7.77756,8.97295,8.87691,8.95179,8.796299999999999,7.73472,7.309699999999999,8.467049999999999,8.272110000000001,7.9462399999999995,7.75079
16,7.05318,8.556809999999999,8.80364,8.237,8.42522,8.00396,8.717270000000001,8.77045,8.540370000000001,8.09344,8.25113,8.83937,7.97274,8.87086
17,6.8926300000000005,9.16438,7.82121,7.72347,7.068149999999999,8.32367,7.632770000000001,7.86476,8.202879999999999,8.58559,8.04194,8.34316,7.67273,7.959350000000001
18,8.33768,8.57667,8.69831,8.822940000000001,8.079279999999999,8.245209999999998,7.2152899999999995,8.79175,8.41588,8.75102,8.68028,8.51041,8.6401,7.38658
19,7.71485,8.707469999999999,7.15438,6.81809,8.471,8.11527,8.05847,7.4894300000000005,7.613,7.80648,8.10421,6.67469,6.743399999999999,8.00859
20,7.2798,8.52429,8.63861,8.45472,8.74391,8.20417,7.02441,8.66078,7.90225,8.56426,8.47319,8.42972,8.43667,8.5676
21,8.63059,7.452520000000001,7.770560000000001,8.19601,8.689530000000001,6.73537,7.53512,8.911959999999999,7.24658,7.0149099999999995,8.18783,7.78921,6.95566,8.78
22,8.38763,8.6202,8.192290000000002,9.09471,8.4181,7.9338999999999995,8.14467,8.43676,7.96751,8.677610000000001,8.76607,8.93813,8.85667,8.95927
23,7.69334,8.86206,6.531479999999999,7.60532,8.00402,7.55075,9.25319,8.62726,6.77146,7.730659999999999,8.45056,7.99017,8.09872,8.578370000000001
24,7.02133,7.61488,8.96443,8.32349,9.10813,8.307540000000001,7.73256,7.5046,8.53491,7.89693,8.228200000000001,7.98188,8.758790000000001,8.381639999999999
25,9.09276,7.5168,8.3943,6.63776,6.52211,7.36331,8.23217,6.30604,7.85046,7.57918,7.785810000000001,7.73832,7.437600000000001,8.19851
26,8.87014,9.03118,9.09806,8.338709999999999,8.67875,8.08804,8.1885,8.254719999999999,8.215,8.03896,8.87941,7.99755,8.58005,7.67798
27,7.016430000000001,8.37697,6.93394,6.40068,7.90154,6.72199,6.812600000000001,7.28526,6.71731,8.16229,6.75942,8.34699,7.9387,7.996
28,9.04232,8.559709999999999,8.643229999999999,8.25625,8.303889999999999,7.66092,8.41727,7.9954,8.87459,8.21468,8.477549999999999,8.158199999999999,8.69615,8.10378
29,6.83016,8.17929,7.43241,7.6186300000000005,7.451899999999999,8.01793,6.93885,9.19298,6.6854,7.5682,7.58991,7.5769899999999994,8.38726,6.609310000000001
