309.04,11184,1809.97,1407.91,2510.36,1076.8,82.8746,38.6433,7907.83,116.31
303.89,11280,4635.34,1884.47,3705.12,1103.84,45.7081,94.4446,8295.16,116.74
303.87,10992,1632.43,1564.45,2430.09,1220.74,83.1855,36.4881,8381.02,116.71
303.81,10704,4638.82,1581.4,3706.32,1202.66,52.7996,94.3107,7814.42,116.70
303.85,11024,1576.44,1453.86,2403.23,1214.73,84.1454,36.505,8806.06,116.67
303.78,11184,4718.95,1871.01,3706.94,1206.95,54.0048,94.2469,6548.63,116.70
303.87,11104,1682.22,1471.28,2665.51,1177.77,83.629,34.5021,9396.58,116.50
303.88,10752,4477.61,1852.79,3704.97,1358.76,52.8897,93.855,7603.77,116.71
303.91,11120,1594.54,1467.35,2472.32,1190.46,84.0437,35.6851,8782.17,116.65
303.86,11088,4563.69,1878.42,3705.04,1317.61,52.8611,93.9348,7327.29,116.68
303.94,11104,1601.21,1511.34,2432.15,1154.35,82.683,36.5378,8250.45,116.66
303.87,11008,4629.91,1533.39,3700.9,1165.62,52.9963,94.3237,8027.96,116.70
303.85,10912,1562.57,1510.16,2334.94,1217.13,83.4168,36.4625,7985.57,116.68
303.91,10896,4677.99,1785.24,3704.41,1108.69,44.961,94.5016,8366.05,116.63
303.88,11072,1576.48,1536.28,2305.85,1245.83,83.5457,36.4629,7707.8,116.75
303.87,10752,4642.73,1670.76,3704.17,1137.91,49.0738,94.4572,8272.11,116.64
303.94,11136,1608.2,1482.79,2503.65,1196.33,83.5504,35.5452,8839.37,116.66
303.98,10816,4808.37,1767.53,3700.56,1158.69,56.5573,94.5249,8343.16,116.66
303.92,11040,1638.89,1462.63,2555.62,1226.01,83.6308,35.8369,8510.41,116.65
303.91,10992,4537.18,1772.23,3706.3,1259.91,51.0957,94.1017,6674.69,116.69
303.92,11280,1571.37,1401.67,2433.79,1116.19,84.5546,36.9382,8429.72,116.72
303.78,11296,4696.64,1731.01,3703.11,1206.46,54.3635,94.2885,7789.21,116.59
303.84,11040,1578.68,1635.41,2242.51,1065.87,82.6208,38.5129,8938.13,116.76
303.89,10944,4656.06,1583.73,3703.18,1209.7,53.8184,94.3323,7990.17,116.69
303.87,10816,1577.11,1501.62,2376.32,1174.92,83.2807,36.8976,7981.88,116.76
303.90,10672,4591.68,1550.42,3700.99,1199.8,52.9825,94.2708,7738.32,116.71
303.88,11088,1563.56,1592.48,2287.8,1228.08,82.2017,36.6164,7997.55,116.74
303.80,11072,4805.1,1852.17,3706.08,1160.22,56.3287,94.3719,8346.99,116.57
303.88,10720,1605.1,1563.4,2349.91,1238.04,82.8284,37.5107,8158.2,116.66
303.93,11056,4647.27,1822.02,3705.91,1132.67,44.9668,94.4894,7576.99,116.61
