,IL2CPPDevFasterBuildReleaseBuild,IL2CPPFasterBuildReleaseBuild,IL2CPPDevFasterRuntimeReleaseBuild,IL2CPPFasterRuntimeReleaseBuild
0,14672.2,12915.9,13078.1,14290.8
1,14720.7,13760.9,13724.0,14536.4
2,15055.5,13856.1,14328.0,13727.8
3,15036.2,14131.9,14089.5,13531.9
4,15057.4,13947.6,13888.0,14385.3
5,14003.0,13555.1,14034.9,14701.7
6,13773.6,13874.8,14672.5,14702.5
7,14182.4,13376.6,14344.5,14008.2
8,13827.7,15327.1,14350.3,14360.3
9,13690.0,14052.0,13779.7,14323.2
10,14147.9,13699.5,14346.7,14080.1
11,13822.2,14256.3,13683.7,14492.2
12,14308.2,14035.8,13536.9,14362.4
13,14509.6,13713.6,13536.2,14670.1
14,14256.9,14366.4,15328.9,14405.7
15,14423.3,14276.6,14000.3,14756.1
16,15035.4,14791.0,14567.2,14771.7
17,14015.5,13460.7,13877.7,15066.2
18,15149.7,14051.7,13927.2,14535.4
19,14073.7,13391.7,13656.5,14528.1
20,14037.9,14873.8,14111.3,13971.4
21,13878.1,14503.7,13214.8,15075.9
22,13517.0,14151.2,14572.6,15392.4
23,13496.3,13551.6,13911.6,14308.5
24,13693.9,14719.5,13721.0,14244.9
25,13636.9,14335.1,13988.0,14518.7
26,15190.1,13859.3,13296.6,15468.2
27,12924.8,13792.9,13839.8,14876.9
28,13604.8,13795.7,14254.3,14377.8
29,14060.9,14291.2,14450.4,14272.9
